#Title: The main part of the Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HR	(I4)	[1/9110]+ Harvard Revised Number = Bright Star Number	[ucd=meta.id;meta.main]
#Column	Name	(a10)	Name, generally Bayer and/or Flamsteed name	[ucd=meta.id]
#Column	HD	(I6)	[1/225300]? Henry Draper Catalog Number	[ucd=meta.id]
#Column	ADS	(a5)	Aitken's Double Star Catalog (ADS) designation	[ucd=meta.id]
#Column	VarID	(a9)	Variable star identification	[ucd=meta.id]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color in the UBV system	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a20)	Spectral type	[ucd=src.spType]
RAJ2000	DEJ2000	HR	Name	HD	ADS	VarID	Vmag	B-V	SpType
049.781667	+50.095000	 989	 31    Per	 20418	     	         	 5.03	-0.06	  B5V
049.047083	-30.827500	 990	          	 20423	     	         	 6.65	-0.07	  A0V
049.682500	+34.222778	 991	          	 20468	     	         	 4.82	 1.49	  K2IICN1
049.593333	 -0.930278	 992	 95    Cet	 20559	 2459	 1097    	 5.38	 1.04	  G9IV
049.511667	-28.796944	 993	          	 20606	     	         	 5.91	 0.33	  F3V+A8-9
049.592083	-22.511389	 994	 15    Eri	 20610	 2463	         	 4.88	 0.90	  G6III
049.982500	+27.071111	 995	 59    Ari	 20618	     	         	 5.90	 0.86	  G6IV
049.840417	 +3.370278	 996	 96Kap1Cet	 20630	     	 1100    	 4.83	 0.68	  G5V
049.671667	-18.559722	 997	          	 20631	 2465	         	 5.71	 0.37	  F0IV
049.360833	-47.751667	 998	          	 20640	     	         	 5.85	 1.24	  K2III
050.085000	+29.048333	 999	          	 20644	     	         	 4.47	 1.55	  K2II-III
050.106667	+25.662778	1000	 60    Ari	 20663	     	         	 6.12	 1.24	 gK3
050.469167	+49.070833	1001	          	 20675	     	         	 5.93	 0.43	  F6V
050.360417	+43.329444	1002	 32    Per	 20677	     	 1107    	 4.95	 0.04	  A3V
049.879167	-21.757778	1003	 16Tau4Eri	 20720	 2472	Tau4 Eri 	 3.69	 1.62	  M3.5IIIaCa-1
049.895000	-24.123056	1004	          	 20729	     	 1104    	 5.61	 1.66	  M2III
050.306667	+21.146944	1005	 61Tau1Ari	 20756	     	         	 5.28	-0.07	  B5IV
049.442500	-62.575278	1006	   Zet1Ret	 20766	     	         	 5.54	 0.64	  G2.5VFe1Hdel 1
050.278333	 +3.675556	1007	 97Kap2Cet	 20791	     	         	 5.69	 0.97	  G8.5III
049.982083	-43.069722	1008	          	 20794	     	         	 4.27	 0.71	  G8V
051.168750	+64.586111	1009	          	 20797	     	 1121    	 5.23	 2.08	  M0II
049.553750	-62.506389	1010	   Zet2Ret	 20807	     	         	 5.24	 0.60	  G1V
050.805000	+49.213333	1011	          	 20809	     	         	 5.29	-0.07	  B5V
050.549583	+27.607500	1012	 62    Ari	 20825	     	         	 5.52	 1.10	  G5III
050.188333	-26.606389	1013	          	 20853	     	         	 6.39	 0.54	  F7V
049.495833	-66.926944	1014	          	 20888	     	         	 6.05	 0.13	  A3V
050.688333	+20.741944	1015	 63Tau2Ari	 20893	     	         	 5.09	 1.24	  K3III
050.350000	-23.635278	1016	          	 20894	     	         	 5.52	 0.88	  G6.5IIbCN-1Hdel -1
051.080833	+49.861111	1017	 33Alp Per	 20902	     	 1125    	 1.79	 0.48	  F5Ib
050.567917	-25.587778	1018	          	 20980	     	         	 6.35	 0.01	  A0V
051.123750	+33.535833	1019	          	 20995	 2514	         	 5.61	-0.03	  A0V
051.451667	+53.921667	1020	          	 21004	     	         	 6.51	 0.29	  A9III-IV
050.388750	-47.776944	1021	          	 21011	     	         	 6.39	 1.00	  K0III
051.077083	+24.724167	1022	 64    Ari	 21017	     	         	 5.50	 1.19	 gK4
050.912917	 +4.881944	1023	          	 21018	 2509	Var?     	 6.38	 0.86	  G5III
050.824167	 -7.794167	1024	          	 21019	 2507	         	 6.20	 0.70	  G2V
048.990000	-77.388333	1025	   Iot Hyi	 21024	     	         	 5.52	 0.44	  F4III
051.289167	+41.257222	1026	          	 21038	     	         	 6.51	     	  A0V
051.108750	+20.803611	1027	 65    Ari	 21050	     	         	 6.08	-0.04	  A1V
051.042083	+12.629444	1028	          	 21051	     	         	 6.04	 1.23	  K0III-IV
051.489167	+49.120833	1029	          	 21071	     	         	 6.09	-0.07	  B7V
051.203333	 +9.028889	1030	  1Omi Tau	 21120	     	 1134    	 3.60	 0.89	  G6IIIFe-1
050.935833	-32.707222	1031	          	 21149	     	         	 6.50	 1.37	  K3III
052.581250	+71.863889	1032	          	 21179	     	         	 6.32	 1.80	  M2III
052.098333	+60.255556	1033	          	 21203	 2538	         	 6.49	 0.02	  B9V+A1
052.012917	+49.062778	1034	          	 21278	     	         	 4.98	-0.09	  B5V
052.267083	+59.940278	1035	          	 21291	 2544	 1152    	 4.21	 0.41	  B9Ia
051.763333	+18.756389	1036	          	 21335	     	         	 6.57	 0.15	  A3Vnp
052.218333	+49.848333	1037	          	 21362	     	         	 5.58	-0.04	  B6Vn
051.792500	 +9.732778	1038	  2Xi  Tau	 21364	     	         	 3.74	-0.09	  B9Vn
051.827917	+12.735000	1039	          	 21379	     	         	 6.28	-0.02	  A0V s
052.478750	+58.878611	1040	          	 21389	     	         	 4.54	 0.56	  A0Ia
052.086667	+33.807500	1041	          	 21402	     	         	 5.61	 0.02	  A2V
051.482500	-35.920833	1042	   Chi1For	 21423	     	 1142    	 6.39	 0.08	  A1IV
052.547083	+59.366111	1043	          	 21427	 2563	 1158    	 6.13	 0.08	  A2V
052.342083	+49.508889	1044	 34    Per	 21428	 2558	         	 4.67	-0.09	  B3V
051.593750	-27.317500	1045	          	 21430	     	         	 5.93	 0.94	  G5III
052.500833	+55.451944	1046	          	 21447	 2565	 1159    	 5.09	 0.05	  A1V
052.359167	+46.937778	1047	          	 21455	 2560	         	 6.24	 0.13	  B7V
052.110833	+22.804167	1048	 66    Ari	 21467	 2552	         	 6.03	 0.95	  K0IV
051.548750	-41.636944	1049	          	 21473	     	         	 6.32	 0.06	  A0V
052.004167	-11.286667	1050	          	 21530	     	         	 5.73	 1.10	  K2III
052.654167	+48.103611	1051	          	 21551	     	         	 5.82	-0.04	  B8V
052.643750	+47.995278	1052	 35Sig Per	 21552	     	 1167    	 4.36	 1.35	  K3III
051.010417	-69.624722	1053	          	 21563	     	         	 6.15	 0.48	  G0-5+A3-5V
051.889167	-35.681389	1054	   Chi2For	 21574	     	         	 5.71	 1.29	  K2III
053.801667	+73.346944	1055	          	 21610	     	         	 6.57	 0.03	  A0Vn
052.872500	+49.209722	1056	          	 21620	     	 1173    	 6.29	 0.09	  A0Vn
          	          	1057	 NOVA 1901	      	     	GK Per   	     	     	
052.047917	-35.853333	1058	   Chi3For	 21635	     	         	 6.50	 0.13	  A1V
052.954583	+49.400833	1059	          	 21661	     	         	 6.39	 0.09	  B9III
052.412917	 -6.805000	1060	          	 21665	     	         	 5.99	 1.02	  G5
052.602083	+11.336389	1061	  4    Tau	 21686	     	         	 5.14	-0.03	  A0Vn
052.400000	-12.674722	1062	          	 21688	     	         	 5.59	 0.17	  A5IV
053.035833	+48.023611	1063	          	 21699	     	V396 Per 	 5.47	-0.10	  B8IIIpMn
051.400833	-69.336389	1064	          	 21722	     	         	 5.96	 0.42	  F3-5IV
052.836667	+27.571944	1065	          	 21743	 2582	         	 5.96	     	  A2V
052.718333	+12.936667	1066	  5    Tau	 21754	     	         	 4.11	 1.12	  K0II-IIIFe-0.5
052.689167	 +6.188611	1067	          	 21755	     	         	 5.94	 0.96	  G8III
053.383750	+58.765000	1068	          	 21769	 2592	         	 6.40	 0.14	  A4III
053.109583	+46.056944	1069	 36    Per	 21770	     	 1182    	 5.31	 0.40	  F4III
052.654583	 -5.075278	1070	 17    Eri	 21790	     	         	 4.73	-0.09	  B9V s
053.421667	+57.868889	1071	          	 21794	     	         	 6.37	 0.51	  F7V
053.162917	+44.855556	1072	          	 21803	     	KP Per   	 6.41	 0.03	  B2IV
053.412500	+54.974722	1073	          	 21819	     	         	 5.98	 0.11	  A3V
053.166667	+35.461667	1074	          	 21856	     	Var?     	 5.90	-0.06	  B1V
052.479167	-42.634167	1075	          	 21882	     	         	 5.78	 0.22	  A5V
052.556667	-41.370000	1076	          	 21899	     	 1179    	 6.12	 0.48	  F7V
053.753333	+60.041111	1077	          	 21903	 2612	         	 6.46	 0.39	  F3V
053.396250	+39.899444	1078	          	 21912	     	IW Per   	 5.81	 0.11	  A5m
053.150000	 +9.373611	1079	  6    Tau	 21933	     	         	 5.77	-0.08	  B9IV
054.853333	+75.739722	1080	          	 21970	     	         	 6.27	 0.97	  G9III-IV
052.654167	-47.375278	1081	          	 21981	     	TU Hor   	 5.99	 0.11	  A1V
052.974583	-25.614167	1082	          	 21997	     	         	 6.38	 0.12	  A3V
052.344583	-62.937500	1083	   Kap Ret	 22001	     	         	 4.72	 0.40	  F5IV-V
053.232500	 -9.458333	1084	 18Eps Eri	 22049	     	         	 3.73	 0.88	  K2V
053.534583	+17.832778	1085	          	 22072	     	         	 6.17	 0.89	  K1IVFe-1
053.610833	+24.464444	1086	  7    Tau	 22091	 2616	 1192    	 5.92	 0.13	  A3V+A3V
054.122500	+48.192778	1087	 37Psi Per	 22192	     	Psi Per  	 4.23	-0.06	  B5Ve
053.447083	-21.632778	1088	 19Tau5Eri	 22203	     	         	 4.27	-0.11	  B8V+B8V
053.705000	 +6.417778	1089	          	 22211	     	         	 6.49	 0.63	  G0
053.145000	-50.378611	1090	          	 22231	     	         	 5.68	 1.10	  K2III
053.655833	 -9.868611	1091	          	 22243	     	         	 6.25	 0.02	  A2V
052.715000	-66.489722	1092	          	 22252	     	         	 5.83	-0.06	  B8V
053.486667	-31.080278	1093	          	 22262	     	         	 6.20	 0.48	  F5V
054.582083	+56.932778	1094	          	 22316	     	         	 6.30	-0.13	  B9p
053.639583	-31.874722	1095	          	 22322	     	         	 6.40	 1.40	  K3III
053.215000	-61.016944	1096	          	 22382	     	         	 6.41	 1.04	  K0III
054.500833	+42.583056	1097	          	 22402	     	         	 6.42	-0.06	  B8Vn
053.990417	-11.193611	1098	          	 22409	     	         	 5.57	 0.91	 gG7
054.197083	 +0.587778	1099	          	 22468	 2644	V711 Tau 	 5.71	 0.92	  G9V
054.072500	-17.466944	1100	 20    Eri	 22470	     	EG Eri   	 5.23	-0.13	  B9.5p
054.218333	 +0.401667	1101	 10    Tau	 22484	     	         	 4.28	 0.58	  F9IV-V
054.449167	+15.430833	1102	          	 22522	     	         	 6.39	 0.17	  A5IV
054.750417	+20.915833	1103	          	 22615	     	 1213    	 6.50	 0.15	  Am,A5-F0
053.602917	-65.764444	1104	          	 22634	     	         	 6.75	 0.17	  A3V
055.538750	+63.216667	1105	          	 22649	     	BD Cam   	 5.10	 1.63	  S3.5/2
054.273750	-40.274722	1106	          	 22663	     	         	 4.58	 1.04	  K1III
062.506250	+86.626111	1107	          	 22701	     	         	 5.86	 0.37	  F5IV
054.621667	 -7.391667	1108	          	 22675	     	         	 5.85	 0.98	 gG5
052.495000	-78.351944	1109	          	 22676	     	         	 5.70	 0.93	  G8III
054.857083	+16.536667	1110	          	 22695	 2661	         	 6.16	 1.00	  K0III
054.754583	 -5.626111	1111	 21    Eri	 22713	     	         	 5.96	 0.92	  K1V
055.677917	+59.969444	1112	          	 22764	 2691	         	 5.76	 1.71	  K3IIb
055.282917	+37.580000	1113	          	 22780	     	 1225    	 5.57	-0.07	  B7Vne
054.698750	-27.943056	1114	   Tau For	 22789	     	         	 6.01	-0.02	  A0V
054.962917	 +3.056944	1115	 12    Tau	 22796	     	         	 5.57	 0.94	 gG6
054.909583	 -3.393056	1116	          	 22798	     	         	 6.23	 1.04	  G5
054.855833	-10.437222	1117	          	 22799	     	         	 6.19	 1.03	  G5
055.192917	+25.329444	1118	 11    Tau	 22805	     	         	 6.11	 0.06	  A2IV
054.997917	 -1.120556	1119	          	 22819	     	         	 6.12	 1.00	  K1III-IV
055.047500	-15.226667	1120	          	 22905	     	         	 6.33	 0.88	  G5
055.159583	 -5.210556	1121	 22    Eri	 22920	     	         	 5.53	-0.15	  B9IIIpSi4200
055.731250	+47.787500	1122	 39Del Per	 22928	     	Del Per  	 3.01	-0.13	  B5IIIe
055.593750	+33.965000	1123	 40    Per	 22951	 2699	         	 4.97	-0.01	  B0.5V
056.503750	+67.201667	1124	          	 23005	     	         	 5.80	 0.35	  F0IV
055.307500	-11.803056	1125	          	 23010	     	         	 6.49	 0.36	  F5II
055.578750	+19.700278	1126	 13    Tau	 23016	     	         	 5.69	-0.01	  B9Vne
056.026667	+48.523611	1127	          	 23049	 2712	         	 6.06	 1.55	  K4III
055.343333	-19.584722	1128	          	 23055	     	         	 6.59	 0.09	  A3V
056.509583	+63.345000	1129	          	 23089	     	         	 4.80	 0.80	  G0III+A3V
056.170417	+46.099722	1130	          	 23139	     	         	 6.11	 0.28	  A7IV
056.079583	+32.288333	1131	 38Omi Per	 23180	 2726	Omi Per  	 3.83	 0.05	  B1III
055.946667	+19.665000	1132	 14    Tau	 23183	     	         	 6.14	 1.01	  G8III
056.130833	+36.460000	1133	          	 23193	     	         	 5.59	 0.06	  A2m
055.562083	-31.938333	1134	   Del For	 23227	     	         	 5.00	-0.16	  B5IV
056.298333	+42.578611	1135	 41Nu  Per	 23230	 2738	 1261    	 3.77	 0.42	  F5II
055.812083	 -9.763333	1136	 23Del Eri	 23249	     	Del Eri  	 3.54	 0.92	  K0+IV
056.117083	+20.928611	1137	          	 23258	     	         	 6.10	 0.01	  A0V
057.307500	+70.871111	1138	          	 23277	     	         	 5.44	 0.09	  A2m
055.890833	-10.485556	1139	          	 23281	     	         	 5.60	 0.22	  A5m
056.200833	+24.289444	1140	 16    Tau	 23288	     	 1262    	 5.46	-0.04	  B7IV
056.497083	+45.681944	1141	          	 23300	 2746	         	 5.66	-0.07	  B6V
056.218750	+24.113333	1142	 17    Tau	 23302	     	         	 3.70	-0.11	  B6III
055.708750	-37.313611	1143	          	 23319	     	         	 4.59	 1.20	  K2.5III
056.290417	+24.839167	1144	 18    Tau	 23324	     	         	 5.64	-0.07	  B8V
056.302083	+24.467222	1145	 19    Tau	 23338	     	 1264    	 4.30	-0.11	  B6IV
056.127083	 -1.163056	1146	 24    Eri	 23363	     	         	 5.25	-0.10	  B7V
056.884167	+55.922500	1147	          	 23383	     	         	 6.10	-0.03	  B9Vnn
057.589583	+71.332222	1148	   Gam Cam	 23401	     	         	 4.63	 0.03	  A2IVn
056.456667	+24.367778	1149	 20    Tau	 23408	     	 1279    	 3.87	-0.07	  B8III
056.235417	 -0.296667	1150	 25    Eri	 23413	     	         	 5.55	 1.42	  K4III
056.476667	+24.554722	1151	 21    Tau	 23432	     	 1283    	 5.76	-0.04	  B8V
056.512083	+24.528056	1152	 22    Tau	 23441	     	         	 6.43	-0.02	  A0Vn
056.418333	 +6.050000	1153	 29    Tau	 23466	 2750	         	 5.35	-0.12	  B3V
054.125000	-78.323056	1154	          	 23474	     	         	 6.29	 1.15	  K2III
057.380000	+65.526111	1155	          	 23475	     	BE Cam   	 4.47	 1.88	  M2+IIab
056.581667	+23.948333	1156	 23    Tau	 23480	     	V971 Tau 	 4.18	-0.06	  B6IVe
056.025833	-40.660278	1157	          	 23508	     	         	 6.45	 1.06	  K1III
057.402917	+63.297222	1158	          	 23523	     	         	 5.85	 0.18	  A5Vn
056.539583	 +6.803056	1159	          	 23526	     	         	 5.91	 0.99	  G9III
057.076250	+50.736667	1160	          	 23552	 2769	         	 6.14	 0.06	  B8Vne
057.331667	+57.118056	1161	          	 23594	     	         	 6.46	 0.06	  A0Vn
056.535417	-12.101667	1162	 26Pi  Eri	 23614	     	Pi  Eri  	 4.42	 1.63	  M2III
056.969167	+33.600000	1163	          	 23625	 2772	 1305    	 6.57	 0.08	  B2.5V
056.953750	+32.195000	1164	          	 23626	     	         	 6.25	 0.47	  G0
056.871250	+24.105000	1165	 25Eta Tau	 23630	     	         	 2.87	-0.09	  B7IIIe
057.924167	+68.507500	1166	          	 23662	     	         	 6.32	-0.08	  B9IVp
056.210833	-48.061389	1167	          	 23670	     	         	 6.49	 1.02	  G8-K0III
056.140833	-54.273889	1168	          	 23697	     	         	 6.30	 1.04	  K1III
056.315833	-47.359722	1169	          	 23719	     	         	 5.73	 0.96	  K1III
057.284167	+43.963056	1170	          	 23728	     	V376 Per 	 6.02	 0.29	  A9IV
056.614167	-29.338056	1171	   Sig For	 23738	     	         	 5.90	 0.12	  A3V
057.087083	+23.421111	1172	          	 23753	     	 1321    	 5.45	-0.07	  B8V
056.712083	-23.249722	1173	 27Tau6Eri	 23754	     	         	 4.23	 0.42	  F3III
057.067917	+11.143333	1174	 30    Tau	 23793	 2778	 1327    	 5.07	-0.13	  B3V+F5V
056.050000	-64.806944	1175	   Bet Ret	 23817	     	         	 3.85	 1.13	  K2+III
057.518750	+44.967778	1176	          	 23838	     	Var?     	 5.66	 0.76	  G2III+F2:V
057.385833	+33.091389	1177	 42    Per	 23848	     	V467 Per 	 5.11	 0.07	  A3V
057.290417	+24.053333	1178	 27    Tau	 23850	 2786	 1345    	 3.63	-0.09	  B8III
056.833750	-29.901944	1179	          	 23856	     	         	 6.55	 0.49	  F8V
057.296667	+24.136667	1180	 28    Tau	 23862	     	BU Tau   	 5.09	-0.08	  B8Vpe
056.915000	-23.874722	1181	 28Tau7Eri	 23878	     	Var      	 5.24	 0.07	  A2
057.162083	 +0.227778	1182	          	 23887	     	         	 5.91	 1.23	  K3III
057.431250	+23.711667	1183	          	 23923	     	         	 6.17	-0.05	  B8V
056.983333	-30.167778	1184	   Rho For	 23940	     	 1337    	 5.54	 0.98	  G6III
057.479167	+22.244444	1185	          	 23950	     	         	 6.07	-0.01	  B8III
056.956667	-36.105833	1186	          	 23958	     	         	 6.21	-0.10	  B8V
057.149167	-20.903056	1187	          	 23978	     	         	 5.81	 1.64	  K5III
057.578750	+25.579444	1188	          	 23985	 2799	 1366    	 5.26	 0.21	  A2V+A5V
057.147500	-37.622222	1189	          	 24071	     	         	 5.40	 0.01	  A1V
057.149583	-37.620556	1190	          	 24072	     	 1359    	 4.73	-0.03	  B9V
057.973750	+34.359167	1191	          	 24131	     	         	 5.77	 0.00	  B1V
058.430417	+57.975000	1192	          	 24141	     	         	 5.80	 0.18	  A5m
057.902500	+22.031667	1193	          	 24154	     	         	 6.83	     	  K0III
057.815833	+13.045833	1194	          	 24155	     	V766 Tau 	 6.30	-0.07	  B9pSi
057.363750	-36.200278	1195	          	 24160	     	         	 4.17	 0.95	  G9II-III
059.125833	+71.821667	1196	          	 24164	     	         	 6.34	 0.30	  A5m
058.017917	+31.168333	1197	          	 24167	     	         	 6.25	 0.20	  A5V
058.411250	+48.650556	1198	          	 24240	     	         	 5.76	 1.05	  K0III
058.000833	 +6.534722	1199	 31    Tau	 24263	     	         	 5.67	 0.06	  B5V
057.656667	-36.425278	1200	          	 24305	     	         	 6.86	-0.04	  B9.5V
058.291667	+17.326944	1201	          	 24357	     	         	 5.97	 0.34	  F4V
058.173333	 -5.361389	1202	 30    Eri	 24388	 2832	         	 5.48	-0.10	  B8V
058.532917	+31.883611	1203	 44Zet Per	 24398	 2843	 1397    	 2.85	 0.12	  B1Ib
059.356250	+63.072222	1204	          	 24479	     	         	 5.03	-0.09	  B9.5V
059.284583	+61.108889	1205	          	 24480	 2867	         	 5.00	 1.45	  K3I-II+A3V:
058.304167	-18.434444	1206	          	 24497	     	         	 6.22	 0.88	 gK+F
058.992500	+47.871389	1207	          	 24504	     	         	 5.37	-0.08	  B6V
056.809583	-74.238889	1208	   Gam Hyi	 24512	     	         	 3.24	 1.62	  M2III
058.845833	+31.045833	1209	          	 24534	 2859	X Per    	 6.10	 0.29	  O9.5ep
059.152083	+50.695278	1210	 43    Per	 24546	     	         	 5.28	 0.41	  F5IV
058.572500	 -2.952778	1211	 32    Eri	 24554	 2850	         	 6.14	 0.09	  A2V
058.572917	 -2.954722	1212	 32    Eri	 24555	 2850	         	 4.79	 0.94	  G8III
058.427500	-24.612500	1213	 33Tau8Eri	 24587	     	Tau8 Eri 	 4.65	-0.13	  B6V
058.412083	-34.732222	1214	          	 24626	     	         	 5.11	-0.13	  B6V
059.119583	+35.081111	1215	          	 24640	     	 1418    	 5.49	-0.03	  B1.5V
058.388750	-46.893611	1216	          	 24706	     	         	 5.93	 1.24	  K2III
058.817917	-12.099167	1217	          	 24712	     	DO Eri   	 6.00	 0.32	  A5pSrCrEu
059.217083	+22.478056	1218	 32    Tau	 24740	     	         	 5.63	 0.30	  F2IV
058.596667	-40.357222	1219	          	 24744	     	 1414    	 5.71	 0.60	  K0III+A3V
059.463333	+40.010278	1220	 45Eps Per	 24760	 2888	Eps Per  	 2.89	-0.18	  B0.5V+A2V
059.265833	+23.175556	1221	 33    Tau	 24769	     	V817 Tau 	 6.06	 0.02	  B9.5IV
059.360000	+24.461944	1222	          	 24802	     	         	 6.16	 1.37	  K0
059.512917	+34.814444	1223	          	 24809	     	V386 Per 	 6.53	 0.23	  A8V
059.257083	 +6.040000	1224	          	 24817	     	         	 6.09	 0.06	  A2Vn
059.157917	 -9.750833	1225	          	 24832	     	DL Eri   	 6.19	 0.28	  F1V
059.621250	+38.840278	1226	          	 24843	     	         	 6.30	 1.08	 gK1
058.641667	-52.690556	1227	          	 24863	     	 1419    	 6.46	 0.16	  A4V
059.741250	+35.791111	1228	 46Xi  Per	 24912	     	Xi  Per  	 4.04	 0.01	  O7.5III(n)((f))
059.916667	+38.820556	1229	          	 24982	 2910	         	 6.38	 0.10	  A1Vp:
062.511667	+80.698611	1230	          	 25007	 2963	         	 5.10	 0.56	  G8III+A6V
059.507500	-13.508611	1231	 34Gam Eri	 25025	 2904	Gam Eri  	 2.95	 1.59	  M0.5IIICa-1Cr-1
059.717917	 -5.470000	1232	          	 25069	     	         	 5.83	 1.00	  G9V
059.919583	+10.330833	1233	          	 25102	     	         	 6.37	 0.42	  F5V
060.311250	+36.990000	1234	          	 25152	     	         	 6.41	-0.01	  A0V
059.875417	-12.574167	1235	          	 25165	     	         	 5.60	 1.48	  K5III
059.016667	-63.463611	1236	          	 25170	     	         	 6.14	 1.10	  K1-2III
060.153750	+17.296667	1237	          	 25175	     	         	 6.32	 0.06	  A0V
060.203333	+18.193889	1238	          	 25202	     	         	 5.89	 0.32	  F4V
060.170000	+12.490278	1239	 35Lam Tau	 25204	     	Lam Tau  	 3.47	-0.12	  B3V+A4IV
059.981250	-24.016389	1240	 36Tau9Eri	 25267	     	Tau9 Eri 	 4.66	-0.13	  B6V+B9.5V
061.512917	+68.680000	1241	          	 25274	     	         	 5.87	 1.54	  K2III
061.113333	+59.155556	1242	          	 25291	     	         	 5.06	 0.50	  F0II
060.442083	 +9.997778	1243	          	 25330	 2938	         	 5.67	 0.02	  B5V
060.383333	 -1.549722	1244	 35    Eri	 25340	     	         	 5.28	-0.15	  B5V
059.678750	-57.102500	1245	          	 25346	     	         	 6.05	 0.44	  F2IV
060.169583	-30.490833	1246	          	 25371	     	         	 5.93	 0.04	  A2V
059.686250	-61.400278	1247	   Del Ret	 25422	     	         	 4.56	 1.62	  M2IIIab
061.662500	+65.520833	1248	          	 25425	     	         	 6.17	 0.14	  A3m
060.652917	 -0.268889	1249	          	 25457	     	         	 5.38	 0.50	  F5V
060.065417	-51.564722	1250	          	 25470	     	XY Dor   	 6.51	 1.64	  M1III
060.789167	 +5.989167	1251	 38Nu  Tau	 25490	     	         	 3.91	 0.03	  A1V
061.090417	+24.105833	1252	 36    Tau	 25555	 2965	         	 5.47	 0.86	  G0III+A4V
060.935833	 +5.435556	1253	 40    Tau	 25558	     	         	 5.33	-0.08	  B3V
060.985833	 +8.197222	1254	          	 25570	     	         	 5.46	 0.37	  F2V
061.652500	+54.008611	1255	          	 25602	     	         	 6.31	 0.99	  K0III-IV
061.173750	+22.081944	1256	 37    Tau	 25604	     	         	 4.36	 1.07	  K0+III-IIIaFe-0.2
061.041250	 +2.826944	1257	          	 25621	     	         	 5.36	 0.50	  F6IV
060.852917	-20.144167	1258	          	 25631	     	Var?     	 6.46	-0.18	  B2.5V
060.903333	-20.158333	1259	          	 25661	     	         	 7.01	 1.22	  K2II
061.962917	+62.330000	1260	          	 25638	 2984	SZ Cam   	 6.99	 0.42	  B0III
061.645833	+50.351389	1261	 47Lam Per	 25642	     	         	 4.29	 0.02	  A0IVn
061.334167	+22.008889	1262	 39    Tau	 25680	     	 1452    	 5.90	 0.62	  G5V
061.036250	-16.588889	1263	          	 25700	     	         	 6.39	 1.26	  K2
060.224167	-62.159444	1264	   Gam Ret	 25705	     	Gam Ret  	 4.51	 1.65	  M4III
061.094583	-12.792500	1265	          	 25723	     	         	 5.61	 1.08	 gK0
060.325833	-61.078889	1266	   Iot Ret	 25728	     	         	 4.97	 1.42	  K4III
061.170833	-20.381667	1267	          	 25803	     	         	 6.13	 1.16	  K0
061.651667	+27.600000	1268	 41    Tau	 25823	     	GS Tau   	 5.20	-0.13	  B9pSi
061.752083	+29.001389	1269	 42Psi Tau	 25867	     	         	 5.23	 0.34	  F1V
062.365000	+59.908056	1270	          	 25877	     	         	 6.28	 1.14	  G8IIa
055.633750	-85.262222	1271	          	 25887	     	         	 6.41	-0.01	  B9.5IV
061.485417	 -8.856111	1272	          	 25910	     	         	 6.26	 0.06	  A3V
062.165417	+47.712500	1273	 48    Per	 25940	     	MX Per   	 4.04	-0.03	  B3Ve
061.444583	-20.512222	1274	          	 25944	     	         	 6.34	 0.92	  G5
061.405833	-27.651667	1275	          	 25945	     	         	 5.59	 0.31	  F1IV
062.343333	+54.828889	1276	          	 25948	     	         	 6.18	     	  F5V
062.063750	+37.727778	1277	 49    Per	 25975	     	         	 6.09	 0.95	  K1III
062.152500	+38.039722	1278	 50    Per	 25998	     	         	 5.51	 0.46	  F7V
061.925000	+15.162778	1279	          	 26015	 2999	 1466    	 6.01	 0.40	  F3V
061.997500	+17.339722	1280	          	 26038	 3006	         	 5.89	 1.50	  K5IIIb
063.437083	+72.126389	1281	          	 26076	     	         	 6.03	 1.01	  K1III
063.215000	+68.501667	1282	          	 26101	     	         	 6.32	 1.18	  K0
062.291667	+19.609167	1283	 43Ome1Tau	 26162	     	         	 5.50	 1.07	  K2III
062.256667	+13.398333	1284	          	 26171	     	         	 5.95	 0.05	  B9.5V
061.854583	-42.916944	1285	          	 26262	     	         	 6.59	 0.93	  K0III
062.745833	+33.586667	1286	          	 26311	     	         	 5.72	 1.44	  K1II-III
062.707917	+26.480833	1287	 44    Tau	 26322	     	IM Tau   	 5.41	 0.34	  F2IV-V
062.324167	-16.385833	1288	          	 26326	     	         	 5.37	-0.15	  B4V
067.054167	+83.807778	1289	          	 26356	     	         	 5.57	-0.13	  B5V
062.593750	 -6.923889	1290	 37    Eri	 26409	     	         	 5.44	 0.94	  G8III
062.141250	-45.864722	1291	          	 26413	     	         	 6.59	 0.38	  F2V
062.834583	 +5.523056	1292	 45    Tau	 26462	     	         	 5.72	 0.36	  F4V
062.698750	 -8.819722	1293	          	 26464	     	         	 5.70	 1.06	 gG9
061.840000	-64.222500	1294	          	 26491	     	         	 6.38	 0.64	  G3V
063.130833	+17.277500	1295	          	 26546	     	         	 6.09	 1.08	  K0III
063.757500	+57.460278	1296	          	 26553	     	Var?     	 6.08	 0.61	  A4III
